Serial,device_health_status,priority_level,risk_category,overall_risk_score,battery_current,estimated_days_remaining,communication_status,battery_drain_rate_per_day,has_sensor_issue,is_fast_draining,critical_battery_30d
ZN17220409,CRITICAL,Medium,Low,6.0,,,Stale (8-30d),,False,False,False
RE27190027,CRITICAL,Medium,Low,6.0,66.67,66670.0,Stale (8-30d),0.001,False,False,False
RE48180729,CRITICAL,Medium,Low,6.0,57.03,57030.0,Stale (8-30d),0.001,False,False,False
RE48180775,CRITICAL,Medium,Low,6.0,54.7,54700.0,Stale (8-30d),0.001,False,False,False
RE27190066,POOR,Medium,Low,6.0,62.02,62020.0,Stale (8-30d),0.001,False,False,False
RE25190237,POOR,Medium,Low,6.0,60.72,60720.0,Stale (8-30d),0.001,False,False,False
RE25190235,POOR,Medium,Low,6.0,56.24,56240.0,Stale (8-30d),0.001,False,False,False
RE25190230,POOR,Medium,Low,6.0,56.96,56960.0,Stale (8-30d),0.001,False,False,False
RE27190007,POOR,Medium,Low,6.0,60.95,60950.0,Stale (8-30d),0.001,False,False,False
RE37190790,POOR,Medium,Low,6.0,63.22,63220.0,Stale (8-30d),0.001,False,False,False
RE38182042,POOR,Medium,Low,6.0,65.66,65660.0,Stale (8-30d),0.001,False,False,False
RE38182034,POOR,Medium,Low,6.0,66.79,66790.0,Stale (8-30d),0.001,False,False,False
RE38182075,POOR,Medium,Low,6.0,67.34,67340.0,Stale (8-30d),0.001,False,False,False
RE48180766,POOR,Medium,Low,6.0,63.85,63850.0,Stale (8-30d),0.001,False,False,False
RE48180764,POOR,Medium,Low,6.0,51.79,51790.0,Stale (8-30d),0.001,False,False,False
RE48180757,POOR,Medium,Low,6.0,64.88,64879.99999999999,Stale (8-30d),0.001,False,False,False
RE48180879,POOR,Medium,Low,6.0,55.18,55180.0,Stale (8-30d),0.001,False,False,False
RE48180873,POOR,Medium,Low,6.0,54.16,54159.99999999999,Stale (8-30d),0.001,False,False,False
RE48180862,POOR,Medium,Low,6.0,54.83,54830.0,Stale (8-30d),0.001,False,False,False
ZN32220625,FAIR,High,Medium,20.0,43.89,438.9,Active (<24h),0.1,False,True,False
ZN17220408,FAIR,High,Medium,20.0,37.25,449.4877494566312,Active (<24h),0.0828721139675778,False,True,False
ZN17220388,FAIR,High,Medium,20.0,47.42,488.16469160359725,Active (<24h),0.0971393482888482,False,True,False
ZN30221365,EXCELLENT,High,Low,8.0,92.73,927.3,Active (<24h),0.1,False,True,False
ZN15240095,EXCELLENT,High,Low,8.0,100.0,1000.0,Active (<24h),0.1,False,True,False
ZN39210984,FAIR,High,Low,0.0,59.65,1120.300616610059,Active (<24h),0.0532446373014559,False,True,False
ZN32221630,GOOD,High,Low,0.0,69.94,1396.7415958142603,Active (<24h),0.0500736859341738,False,True,False
ZN17220041,GOOD,High,Low,0.0,69.65,1300.83199535149,Active (<24h),0.0535426559685598,False,True,False
ZN32220437,FAIR,High,Low,0.0,54.81,1009.0122236122293,Active (<24h),0.0543204519403958,False,True,False
ZN32220577,GOOD,High,Low,0.0,77.11,1905.287141932354,Active (<24h),0.0404715899787129,False,True,False
