Serial,Device_Type,first_seen_date,last_seen_date,total_days_observed,total_records,risk_score_current,risk_score_avg,risk_score_max,risk_score_min,risk_score_std,device_health_status,battery_current,battery_min,battery_max,battery_avg,battery_std,battery_readings_total,battery_readings_valid,battery_readings_negative,battery_readings_over100,battery_readings_nan,battery_data_quality_pct,battery_data_quality,expected_daily_drain,battery_drain_rate_per_day,drain_deviation,days_until_battery_critical,expected_battery_life_days,expected_battery_life_years,battery_low_days_count,battery_low_percentage,battery_warning_days_count,battery_drain_category,battery_data_issue,years_remaining,battery_health_category,risk_category,drain_category,days_since_last_comm,communication_status,not_communicating_7d,has_sensor_issue,projected_life_years,life_reduction_pct,remaining_life_category,less_than_10yr_life,is_slightly_draining,is_moderately_draining,is_fast_draining,is_critical_draining,needs_replacement_1year,needs_replacement_2year,schedule_replacement_3year,life_expectancy_category,estimated_days_remaining,critical_battery_30d,emergency_battery_7d,comm_risk_score,sensor_risk_score,battery_risk_score,drain_risk_score,overall_risk_score,priority_level
ZN39210984,ZM1,2025-09-13,2025-10-13,30,30,32.27,31.988,32.27,31.72,0.1668862920756487,FAIR,59.65,59.65,61.26,60.66233333333334,0.5181111805416849,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0532446373014559,0.0258473770274833,744.6759337567275,1120.300616610059,3.069316757835775,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,3.0693167578357783,Fair (40-60%),Low,Good (0.01-0.05%/day),0,Active (<24h),False,False,5.1455436007305595,48.54456399269441,SAFE (>2 years),True,True,True,True,False,False,False,False,Below Average (5-7 years),1120.300616610059,False,False,0,0,0,0,0.0,High
ZN32220625,ZM1,2025-09-13,2025-10-13,30,30,30.06,27.757666666666672,30.06,26.66,1.151980852730405,FAIR,43.89,43.89,47.01,44.764333333333326,1.1871428561548691,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.1,0.0726027397260274,238.9,438.9,1.2024657534246574,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,1.2024657534246574,Fair (40-60%),Medium,Good (0.01-0.05%/day),0,Active (<24h),False,False,2.73972602739726,72.6027397260274,WARNING (1-2 years),True,True,True,True,True,False,True,False,Short (<5 years),438.9,False,False,0,0,40,40,20.0,High
ZN17220408,ZM1,2025-09-13,2025-10-13,30,30,30.0,29.741000000000003,30.0,29.51,0.1470010555908618,FAIR,37.25,37.25,39.53,38.391666666666666,0.7632646909858644,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0828721139675778,0.0554748536936052,208.1520450503861,449.4877494566312,1.2314732861825504,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,1.2314732861825513,Poor (20-40%),Medium,Good (0.01-0.05%/day),0,Active (<24h),False,False,3.305968553510205,66.94031446489795,WARNING (1-2 years),True,True,True,True,True,False,True,False,Short (<5 years),449.4877494566312,False,False,0,0,40,40,20.0,High
ZN17220388,ZM1,2025-09-13,2025-10-13,30,30,29.69,29.368,29.69,29.14,0.166389654850833,FAIR,47.42,47.42,50.32,48.44466666666667,0.9342957271373588,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0971393482888482,0.0697420880148756,282.2749018087438,488.16469160359725,1.3374375112427317,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,1.3374375112427321,Fair (40-60%),Medium,Good (0.01-0.05%/day),0,Active (<24h),False,False,2.8204080793815525,71.79591920618448,WARNING (1-2 years),True,True,True,True,True,False,True,False,Short (<5 years),488.16469160359725,False,False,0,0,40,40,20.0,High
ZN32221630,ZM1,2025-09-13,2025-10-13,30,30,29.13,28.858333333333334,29.13,28.6,0.1670862534499891,GOOD,69.94,69.94,71.4,70.69166666666666,0.4639343245237023,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0500736859341738,0.0226764256602012,997.3302158273392,1396.7415958142603,3.826689303600711,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,3.826689303600713,Good (60-80%),Low,Good (0.01-0.05%/day),0,Active (<24h),False,False,5.471388766944114,45.286112330558865,SAFE (>2 years),True,True,True,True,False,False,False,False,Below Average (5-7 years),1396.7415958142603,False,False,0,0,0,0,0.0,High
ZN17220041,ZM1,2025-09-13,2025-10-13,30,30,27.67,27.394333333333336,27.67,27.12,0.1723005260130327,GOOD,69.65,69.65,71.04,70.296,0.508008960007868,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0535426559685598,0.0261453956945872,927.2980411945651,1300.83199535149,3.563923274935588,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,3.5639232749355885,Good (60-80%),Low,Good (0.01-0.05%/day),0,Active (<24h),False,False,5.116903481601706,48.83096518398295,SAFE (>2 years),True,True,True,True,False,False,False,False,Below Average (5-7 years),1300.83199535149,False,False,0,0,0,0,0.0,High
ZN32220437,ZM1,2025-09-13,2025-10-13,30,30,27.46,27.162333333333336,27.46,26.88,0.1720201137664717,FAIR,54.81,54.81,56.28,55.40766666666668,0.515983716218156,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0543204519403958,0.0269231916664232,640.8267743831725,1009.0122236122293,2.7644170509924075,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,2.764417050992409,Fair (40-60%),Low,Good (0.01-0.05%/day),0,Active (<24h),False,False,5.043636290808993,49.56363709191007,SAFE (>2 years),True,True,True,True,False,False,False,True,Below Average (5-7 years),1009.0122236122293,False,False,0,0,0,0,0.0,High
ZN32220577,ZM1,2025-09-13,2025-10-13,30,30,27.25,26.96766666666667,27.26,26.7,0.1798789503572034,GOOD,77.11,77.11,78.26,77.721,0.3720710907228932,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.0404715899787129,0.0130743297047402,1411.1133273992575,1905.287141932354,5.219964772417408,0.0,0.0,0.0,Good (0.01-0.05%/day),Normal,5.219964772417408,Good (60-80%),Low,Excellent (<0.01%/day),0,Active (<24h),False,False,6.769504308672556,32.30495691327444,SAFE (>2 years),True,True,True,True,False,False,False,False,Below Average (5-7 years),1905.287141932354,False,False,0,0,0,0,0.0,High
ZN30221365,ZM1,2025-09-13,2025-10-13,30,30,7.43,7.041,7.43,6.67,0.2260508029564181,EXCELLENT,92.73,63.18,92.83,80.22900000000001,14.635158269940469,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.1,0.0726027397260274,727.3,927.3,2.5405479452054798,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,2.5405479452054798,Excellent (80-100%),Low,Good (0.01-0.05%/day),0,Active (<24h),False,False,2.73972602739726,72.6027397260274,SAFE (>2 years),True,True,True,True,True,False,False,True,Short (<5 years),927.3,False,False,0,0,0,40,8.0,High
ZN15240095,ZM1,2025-09-13,2025-10-13,30,30,2.82,2.434,2.82,2.03,0.2431914245312059,EXCELLENT,100.0,84.17,100.0,85.38399999999999,3.974181850307098,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.1,0.0726027397260274,800.0,1000.0,2.73972602739726,0.0,0.0,0.0,Moderate (0.05-0.1%/day),Normal,2.73972602739726,Excellent (80-100%),Low,Good (0.01-0.05%/day),0,Active (<24h),False,False,2.73972602739726,72.6027397260274,SAFE (>2 years),True,True,True,True,True,False,False,True,Short (<5 years),1000.0,False,False,0,0,0,40,8.0,High
