Serial,Device_Type,first_seen_date,last_seen_date,total_days_observed,total_records,risk_score_current,risk_score_avg,risk_score_max,risk_score_min,risk_score_std,device_health_status,battery_current,battery_min,battery_max,battery_avg,battery_std,battery_readings_total,battery_readings_valid,battery_readings_negative,battery_readings_over100,battery_readings_nan,battery_data_quality_pct,battery_data_quality,expected_daily_drain,battery_drain_rate_per_day,drain_deviation,days_until_battery_critical,expected_battery_life_days,expected_battery_life_years,battery_low_days_count,battery_low_percentage,battery_warning_days_count,battery_drain_category,battery_data_issue,years_remaining,battery_health_category,risk_category,drain_category,days_since_last_comm,communication_status,not_communicating_7d,has_sensor_issue,projected_life_years,life_reduction_pct,remaining_life_category,less_than_10yr_life,is_slightly_draining,is_moderately_draining,is_fast_draining,is_critical_draining,needs_replacement_1year,needs_replacement_2year,schedule_replacement_3year,life_expectancy_category,estimated_days_remaining,critical_battery_30d,emergency_battery_7d,comm_risk_score,sensor_risk_score,battery_risk_score,drain_risk_score,overall_risk_score,priority_level
RE20180870,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN52211429,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190332,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,51.96,51.96,51.96,51.96000000000001,7.226896453227138e-15,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,31960.0,51960.0,142.35616438356163,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),51960.0,False,False,0,0,0,0,0.0,Normal
ZN11224631,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN11224517,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN15240008,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN15240037,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN15240050,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN15240068,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN15240073,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
